,placeId,userId,score
876,2194168,Donghee H,4
877,324891,Dongjin K,1
878,1169465,Dongoh s,5
879,10183192,Dongoh s,5
880,9796664,Dongoh s,5
881,325043,Dongsin,5
882,1551271,Dongsin,5
883,2571660,Dongwon L,5
884,1958940,Doogangs,5
885,553546,Doogangs,5
886,324888,Doogangs,5
887,592506,Doogangs,5
888,554537,Doogangs,5
889,1169465,Doogangs,5
890,1046419,Doogangs,5
891,2008729,Doogangs,5
892,324907,Doogangs,5
893,4095502,Doogangs,3
894,1552278,Doogangs,4
895,1379963,Doogangs,5
896,592658,Doogangs,3
897,2194168,Doogangs,5
898,324891,Doogangs,3
899,2203080,Doogangs,2
900,554537,Doogangs,5
901,592486,Doogangs,5
902,324907,Doran P,3
903,3871936,Doreen1208,5
904,1643534,Doreen1208,5
905,324891,Dustbomb,1
906,1643534,ECU_TANTALLHOTE,5
907,2011401,ECU_TANTALLHOTE,4
908,4084386,ECU_TANTALLHOTE,4
909,4094861,ECU_TANTALLHOTE,4
910,561808,ECU_TANTALLHOTE,4
911,1551271,ECU_TANTALLHOTE,2
912,1549822,ECU_TANTALLHOTE,4
913,1831099,EP282,4
914,1169465,EUN JIN S,4
915,1169465,EUNHEE Y,5
916,553546,EarlyBird73,5
917,1169465,EarlyBird73,5
918,324888,EarlyBird73,5
919,2194168,EarlyBird73,5
920,1643534,Ecsaf,4
921,11772906,Edward J,5
922,324888,Ella s,5
923,1957627,ElleElleLL,5
924,4094861,ElleElleLL,5
925,4095685,ElleElleLL,4
926,324888,ElleElleLL,5
927,1552278,ElleElleLL,4
928,3322253,ElleElleLL,4
929,609340,ElleElleLL,4
930,324907,ElleElleLL,5
931,553546,ElleElleLL,3
932,4798715,ElleElleLL,5
933,4084344,ElleElleLL,3
934,1169465,ElleElleLL,4
935,592506,ElleElleLL,4
936,1956582,ElleElleLL,3
937,8556104,Emilia S,5
938,554537,Emilyiii,5
939,325043,Emilyiii,5
940,2194168,Eon C,5
941,554303,Eon C,4
942,7891912,Eon C,5
943,553213,Ep.523477,4
944,7891676,Esther J,5
945,1169465,Esther J,5
946,2008729,Eun Beom Y,4
947,324888,Eun Jung K,4
948,553546,Eun Sun K,3
949,1169465,Eun Sun K,5
950,3322253,Eun Sun K,4
951,8842556,Eun Sun K,4
952,1169465,Eun Young G,4
953,324888,EunByul K,4
954,1379963,EunHye Grace Y,3
955,3694519,EunHye Grace Y,5
956,2194168,Eunhee Y,4
957,324888,Eunja K,5
958,4323885,Eunjun C,4
959,8693245,Eunjung L,3
960,324891,Eunmi K,4
961,1990451,Eunsoon C,4
962,553546,Eunyoung C,5
963,1643534,Euphem_Korea,5
