class,placeId,score,name_kor,name_eng,location
restaurants,10379930,4.714285714285714,아드난 케밥,Adnan Kebab,서울 중구 퇴계로 57
restaurants,10379952,3.75,포담,Podam,서울 종로구 자하문로9길 11
restaurants,10379986,4.333333333333333,투뿔등심 그랑서울점,Tubbul Deungsim Geurang Seoul,서울 종로구 종로 33
restaurants,10380011,4.333333333333333,에포닌,Eponine,서울 마포구 백범로 152
restaurants,10380057,4.0,스모키러버스,Smoky Lovers,서울 용산구 이태원로54길 53
restaurants,10380058,4.25,백철판 홍대점,Baekcheolpan Hongdae,서울 마포구 양화로16길 34
restaurants,10380118,4.0,콘서트라운지,Concert Lounge,서울 강남구 역삼로7길 17
restaurants,10380142,3.4,마스터키친 더 팬,Master Kitchen THE PAN,서울 용산구 녹사평대로46길 16
restaurants,10380146,3.5,신전떡볶이 명지대점,Sinjeon Tteokbokki Myeongji University,서울 서대문구 명지대길 18
restaurants,10380200,3.0,한영만의갈비짬뽕,Hanyangmanui Galbi Jjamppong,서울 중구 충무로 19
restaurants,10380225,3.5,시마스시,Sima Sushi,서울 중구 을지로5길 26
restaurants,10383984,4.0,부산아지매국밥 파인에비뉴점,Busan Ajimae Gukbap Pine Avenue,서울 중구 을지로 100
restaurants,10384021,4.4,지호한방삼계탕 삼성점,Jiho Hanbang Samgyetang Samseong,서울 강남구 영동대로115길 16
restaurants,10386592,3.75,바네스까르네,BanesCarne SeoRae,서울 서초구 서래로 13
restaurants,10388672,4.0,박씨물고온제비,Bakssi Mulgo On Jebi,서울 종로구 돈화문로11길 8-1
restaurants,10388678,4.333333333333333,레호이 센터원점,Le hoi,서울 중구 을지로5길 26
restaurants,10388682,3.7142857142857135,대만야시장 홍대점,Taiwan Night Market Hongdae,서울 마포구 동교로 210
restaurants,10393594,4.0,아침가리긴밭,Achimgari Kinbot,서울 서울 강남구 언주로149길 9
restaurants,10399795,3.0,석관동떡볶이 종로점,Seokgwandong Tteokbokki Jongro,서울 종로구 종로 127
restaurants,10399803,4.8,미스사이공,Miss Saigon,서울 종로구 자하문로1길 50-19
restaurants,10403896,4.0,디 바이올렛,De Violet,서울 용산구 한강대로23길 55
restaurants,10403911,3.0,스시조,Sushi Jo,서울 양천구 신정중앙로 101
restaurants,10408254,4.25,해몽,Haemong,서울 양천구 오목로 339
restaurants,10408277,5.0,꿍꿍이,Kkungkkungi,서울 광진구 동일로22길 117-5
restaurants,10408291,4.75,더 시치 펍가든,The Sichi Pub Garden,서울 강동구 올림픽로70길 57
restaurants,10408307,4.8125,육지,Yukji,서울 마포구 어울마당로 155-1
restaurants,10408313,4.8,놀이터한판집,Noriteo Hanpanjib,서울 마포구 와우산로21길 20-5
restaurants,10408324,4.714285714285714,이자카야심,Izakaya Shim,서울 광진구 동일로22길 117-7
restaurants,10423798,3.0476190476190474,할머니의 레시피,Grandma's Recipe,서울 성동구 서울숲6길 15-1
restaurants,10436057,3.0,춤추는오징어나라,Dancing Squid Country,서울 종로구 삼일대로17길 52
restaurants,10440364,4.2,경주식당,Gyeongju Restaurant,서울 마포구 와우산로13길 49-7
restaurants,10448121,3.8,샹하오,Shang-hao,서울 송파구 충민로 66
restaurants,10448247,4.0,채루 2001아울렛중계점,Chaeru 2001 Outlet Junggye,서울 노원구 동일로204가길 46
restaurants,10455654,3.0,오스카,Oskar,서울 강남구 삼성로104길 21
restaurants,10455745,4.75,카페 브릴러,Cafe Briller,서울 중구 을지로 지하58
restaurants,10464344,4.5,프랭크서울 둔촌점,Frank Seoul Dunchon,서울 강동구 양재대로87길 12
restaurants,10464666,3.0,마시찜 용산아이파크몰점,Masizzim Yongsan,서울 용산구 한강대로23길 55
restaurants,10479136,5.0,로꼬로꼬조개찜 잠원점,Loco Loco Seafood,서울 서초구 신반포로47길 47
restaurants,10488371,4.333333333333333,코나야,Konaya,서울 강남구 테헤란로 521
restaurants,10492604,5.0,더제이케이키친박스 신도림테크노마트점,The JK Kitchen Box Sindorim Techno Mart,서울 구로구 새말로 97
restaurants,10500981,4.0,달램,Darlem,서울 동교로 46길 24-5
restaurants,10501091,2.0,이륙,Ilyuk,서울 마포구 월드컵로5길 74
restaurants,10501145,4.0,메스테이블,Mess Table,서울 종로구 종로 33
restaurants,10501157,3.6666666666666665,지유가오카핫초메 그랑서울점,Jiyugaoka 8-chome Geurang Seoul,서울 종로구 종로 33
restaurants,10506740,4.8,로꼬로꼬조개찜,Loco Loco Seafood,서울 서초구 잠원동 26-10
restaurants,10509789,4.875,운니사랑방,Unni Sarangbang,서울 종로구 삼일대로32길 49-9
restaurants,10513954,4.666666666666667,부지캣,Boozy Cat Pub and Taphouse,서울 강남구 논현로151길 55
restaurants,10517274,2.5,예소원,Yesowon,서울 서대문구 성산로 535
restaurants,10520656,4.0,쿤스트테이블,Kunst Table,서울 성동구 성수이로7길 27
restaurants,10520669,3.0,니하우,Nihau,서울 금천구 벚꽃로38길 32-43
restaurants,10523385,4.0,나이스투미츄 서울천호점,Nice Two Meat U Seoul Cheonho,서울 강동구 천호대로155길 13
restaurants,10536122,5.0,BBQ치킨 합정스타점,BBQ Chicken Hapjeong Star,서울 마포구 양화로8길 5
restaurants,10536306,3.0,야끼화로 상암점,Yakihwalo Sangam,서울 마포구 월드컵북로48길 19
restaurants,10536327,3.2,파리크라상키친올림픽공원점,Paris Croissant Kitchen Olympic Park,서울 송파구 올림픽로 424
restaurants,10536417,4.4,버거쑈,Burger Sshow,서울 성동구 마조로 35
restaurants,10536469,2.0,왕배화로,Wangbae Hwaro,서울 서초구 방배천로 12-9
restaurants,10536473,4.0,흑산도홍어,Heuksando Hongeo,서울 서초구 방배천로 40-2
restaurants,10536481,5.0,김밥천국 상도터널점,Gimbap Cheonguk Sangdo Tunnel,서울 동작구 노량진로 250
restaurants,10537425,4.0,한우리 센트럴시티점,Hanwoori Central City,서울 서초구 사평대로 205
restaurants,10539267,5.0,상냥한 그놈의 밥상,Sangnyanghan Geu Nomui Bapsang,서울 마포구 월드컵북로54길 17
restaurants,1058129,4.0,누들앤코,NOODLE & co.,"서울 639-7, Sinsa-dong"
restaurants,10593613,3.0,행당떡볶이,Haengdang Tteokbokki,서울 성동구 왕십리로 323
restaurants,10593620,4.0,호치킨하우스 명일2호점,Hochicken House Myeongil 2-ho,서울 강동구 양재대로143길 18
restaurants,10593650,3.0,카퍼룸,Copper Room,서울 강남구 봉은사로 410
restaurants,10593713,4.833333333333333,문인더랩,Moon in the Lab,서울 마포구 월드컵로19길 51
restaurants,10593717,5.0,알마푸드,ALMA Foods,서울 마포구 와우산로 44
restaurants,10593743,4.0,김춘배연어집,Kim Chun Bae Izakaya,서울 용산구 이태원로27가길 45
restaurants,10593747,4.666666666666667,비스트로주라,Bistro Jura,서울 마포구 와우산로23길 18-7
restaurants,10597866,4.0,남순남순대국 마리오아울렛점,Namsunnam Sundaeguk Mario Outlet,서울 금천구 벚꽃로 266
restaurants,10597877,3.333333333333333,사월에쭈꾸미 마리오아울렛1관점,April Jjukkumi Mario Outlet,서울 금천구 디지털로 185
restaurants,10597914,4.714285714285714,포포인츠바이쉐라톤서울남산 더이터리,Four Points by Sheraton Seoul Namsan The Eatery,서울 용산구 한강대로 366
restaurants,10624568,4.8,슈치쿠,Shuchiku Japanese Restaurant,서울 서울 영등포구 63로 50 63시티
