class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10347259,4.5,바밍고,Barmingo,서울 용산구 이태원로54길 8,정좌표,,127.001835,37.53782
restaurants,10347371,4,삼백집 센터원점,Sambaekjib,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10348077,4.25,101번지남산돈까스,No.101 Namsan Tonkatsu,서울  98 5-3,광역시좌표,,126.977863,37.566412
restaurants,10354378,5,카우떡볶이,Cow Tteokbokki,서울 서대문구 이화여대길 88-21,정좌표,,126.943945,37.55959
restaurants,10354382,3.666666667,모범떡볶이,Mobum Topokki,서울 서대문구 연세로7길 46,정좌표,,126.934392,37.558017
restaurants,10358582,3.25,캘리포니아피자키친 용산아이파크몰점,California Pizza Kitchen Yongsan I-Park Mall,서울 용산구 한강대로23길 55,정좌표,,126.964597,37.529633
restaurants,10366173,5,시래마을,Sirae Maeul,서울 송파구 송파대로49길 64,정좌표,,127.097911,37.506002
restaurants,10366193,4.75,어메이징 브루잉 컴퍼니,Amazing Brewing Company,서울 성동구 성수일로4길 4,정좌표,,127.049385,37.542888
restaurants,10373823,3,울라,Oola,서울 마포구 마포대로4다길 31,정좌표,,126.94426,37.535652
restaurants,10374103,4.714285714,스시이태원,Sushi Itaewon,서울 용산구 보광로59길 62,정좌표,,126.990597,37.53376
restaurants,10379930,4.714285714,아드난 케밥,Adnan Kebab,서울 중구 퇴계로 57,정좌표,,126.978325,37.559117
restaurants,10379952,3.75,포담,Podam,서울 종로구 자하문로9길 11,정좌표,,126.970555,37.579323
restaurants,10379986,4.333333333,투뿔등심 그랑서울점,Tubbul Deungsim Geurang Seoul,서울 종로구 종로 33,정좌표,,126.981771,37.571266
restaurants,10380011,4.333333333,에포닌,Eponine,서울 마포구 백범로 152,정좌표,,126.947396,37.54515
restaurants,10380057,4,스모키러버스,Smoky Lovers,서울 용산구 이태원로54길 53,정좌표,,127.001271,37.535977
restaurants,10380058,4.25,백철판 홍대점,Baekcheolpan Hongdae,서울 마포구 양화로16길 34,정좌표,,126.921337,37.552889
restaurants,10380118,4,콘서트라운지,Concert Lounge,서울 강남구 역삼로7길 17,정좌표,,127.032597,37.495141
restaurants,10380142,3.4,마스터키친 더 팬,Master Kitchen THE PAN,서울 용산구 녹사평대로46길 16,정좌표,,126.987654,37.537167
restaurants,10380146,3.5,신전떡볶이 명지대점,Sinjeon Tteokbokki Myeongji University,서울 서대문구 명지대길 18,정좌표,,126.92506,37.581224
restaurants,10380200,3,한영만의갈비짬뽕,Hanyangmanui Galbi Jjamppong,서울 중구 충무로 19,정좌표,,126.992818,37.562909
restaurants,10380225,3.5,시마스시,Sima Sushi,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10383984,4,부산아지매국밥 파인에비뉴점,Busan Ajimae Gukbap Pine Avenue,서울 중구 을지로 100,정좌표,,126.988457,37.565674
restaurants,10384021,4.4,지호한방삼계탕 삼성점,Jiho Hanbang Samgyetang Samseong,서울 강남구 영동대로115길 16,정좌표,,127.058466,37.514533
restaurants,10386592,3.75,바네스까르네,BanesCarne SeoRae,서울 서초구 서래로 13,정좌표,,126.997967,37.496249
restaurants,10388672,4,박씨물고온제비,Bakssi Mulgo On Jebi,서울 종로구 돈화문로11길 8-1,정좌표,,126.990942,37.572823
restaurants,10388678,4.333333333,레호이 센터원점,Le hoi,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10388682,3.714285714,대만야시장 홍대점,Taiwan Night Market Hongdae,서울 마포구 동교로 210,정좌표,,126.923778,37.558642
restaurants,10393594,4,아침가리긴밭,Achimgari Kinbot,서울 서울 강남구 언주로149길 9,정좌표,,127.033381,37.520368
restaurants,10399795,3,석관동떡볶이 종로점,Seokgwandong Tteokbokki Jongro,서울 종로구 종로 127,정좌표,,126.991627,37.570684
restaurants,10399803,4.8,미스사이공,Miss Saigon,서울 종로구 자하문로1길 50-19,정좌표,,126.969495,37.577341
restaurants,10403896,4,디 바이올렛,De Violet,서울 용산구 한강대로23길 55,정좌표,,126.964597,37.529633
restaurants,10403911,3,스시조,Sushi Jo,서울 양천구 신정중앙로 101,정좌표,,126.863136,37.526528
restaurants,10408254,4.25,해몽,Haemong,서울 양천구 오목로 339,정좌표,,126.875301,37.524762
restaurants,10408277,5,꿍꿍이,Kkungkkungi,서울 광진구 동일로22길 117-5,정좌표,,127.070525,37.540921
restaurants,10408291,4.75,더 시치 펍가든,The Sichi Pub Garden,서울 강동구 올림픽로70길 57,정좌표,,127.12674,37.539161
restaurants,10408307,4.8125,육지,Yukji,서울 마포구 어울마당로 155-1,정좌표,,126.927119,37.556915
restaurants,10408313,4.8,놀이터한판집,Noriteo Hanpanjib,서울 마포구 와우산로21길 20-5,정좌표,,126.922642,37.552621
restaurants,10408324,4.714285714,이자카야심,Izakaya Shim,서울 광진구 동일로22길 117-7,정좌표,,127.070558,37.541003
restaurants,10423798,3.047619048,할머니의 레시피,Grandma's Recipe,서울 성동구 서울숲6길 15-1,정좌표,,127.043361,37.547642
restaurants,10436057,3,춤추는오징어나라,Dancing Squid Country,서울 종로구 삼일대로17길 52,정좌표,,126.984559,37.569317
restaurants,10440364,4.2,경주식당,Gyeongju Restaurant,서울 마포구 와우산로13길 49-7,정좌표,,126.921129,37.548427
restaurants,10448121,3.8,샹하오,Shang-hao,서울 송파구 충민로 66,정좌표,,127.12498,37.477651
restaurants,10448247,4,채루 2001아울렛중계점,Chaeru 2001 Outlet Junggye,서울 노원구 동일로204가길 46,정좌표,,127.067849,37.641204
restaurants,10455654,3,오스카,Oskar,서울 강남구 삼성로104길 21,정좌표,,127.056415,37.511255
restaurants,10455745,4.75,카페 브릴러,Cafe Briller,서울 중구 을지로 지하58,정좌표,,126.98398,37.566122
restaurants,10464344,4.5,프랭크서울 둔촌점,Frank Seoul Dunchon,서울 강동구 양재대로87길 12,정좌표,,127.134455,37.52563
restaurants,10464666,3,마시찜 용산아이파크몰점,Masizzim Yongsan,서울 용산구 한강대로23길 55,정좌표,,126.964597,37.529633
restaurants,10479136,5,로꼬로꼬조개찜 잠원점,Loco Loco Seafood,서울 서초구 신반포로47길 47,정좌표,,127.018269,37.512404
restaurants,10488371,4.333333333,코나야,Konaya,서울 강남구 테헤란로 521,정좌표,,127.060795,37.50919
