class,placeId,score,name_kor,name_eng,location
hotels,12730569,3.0,피에스 게스트하우스 이태원,P.S. GuestHouse Itaewon,"37.537365,126.988914"
hotels,12730914,3.8,에이치에비뉴 이대점,H Avenue Hotel Shinchon &amp; Idae,"37.55658,126.9424"
hotels,12789877,4.0,필하우스,Fillhouse,"37.57157,127.00762"
hotels,12856116,4.090909090909091,라마다 서울 신도림 호텔,Ramada Seoul Sindorim Hotel,"37.506298,126.88539"
hotels,12940832,5.0,로드 명동,Road Myeongdong,"37.561836,126.99399"
hotels,12951821,5.0,퍼스트스테이호텔,First Stay Hotel,"37.562645,126.97723"
hotels,12956021,4.666666666666667,더스테이트선유호텔,The State Sunyu Hotel,"37.538372,126.89317"
hotels,13009660,5.0,코멧 게스트하우스,Comet Guesthouse,"37.532303,126.972916"
hotels,1310694,3.32,호텔 아카시아,Benikea Hotel Acacia,"37.566372,127.0026"
hotels,13131314,5.0,Hi Jun Guesthouse,Hi Jun Guesthouse,"37.56457,126.92493"
hotels,13166512,3.5,갤럭시호텔,Galaxy Hotel,"37.526222,126.90887"
hotels,13283029,4.875,글래드 강남 코엑스 센터,GLAD Gangnam COEX Center,"37.50899,127.064445"
hotels,13293144,4.75,호텔 토마스 명동,Hotel Thomas Myeongdong,"37.563477,126.978294"
hotels,13319648,4.363636363636363,L7강남,L7 Gangnam,"37.505558,127.05184"
hotels,13361835,4.714285714285714,부띠끄호텔 Young Inn,Boutique Hotel Young Inn,"37.55627,126.99372"
hotels,13369640,3.8225806451612905,사보이호텔,Savoy Hotel,"37.56195,126.9844"
hotels,13392050,4.5,ENA스위트호텔,ENA Suite Hotel Namdaemun Seoul,"37.562298,126.97388"
hotels,13394600,3.0,호텔해담채가산,Hotel Haedamchae Gasan,"37.479767,126.88837"
hotels,13397346,3.4,호텔더디자이너스 디디피,Hotel The Designers DDP,"37.563778,127.004265"
hotels,13401342,2.5,루미아호텔2,Lumia Hotel 2,"37.57383,127.02217"
hotels,13402121,4.0,에이치에비뉴 호텔 건대점,H Avenue Hotel Kondae,"37.546524,127.06665"
hotels,13414457,3.9245283018867925,노블호텔,Noble Hotel,"37.576874,126.989456"
hotels,13426084,4.411764705882353,L7홍대,L7 Hongdae,"37.555782,126.92142"
hotels,13781380,4.5,포포인츠 바이 쉐라톤 서울 강남,,"37.520008,127.0283"
hotels,13819581,4.943661971830986,글래드 마포,Glad Mapo,"37.543037,126.95146"
hotels,13846825,4.428571428571429,코트야드 서울 보타닉 파크,Courtyard Seoul Botanic Park,"37.56705,126.82945"
hotels,1392824,4.024390243902439,힐 하우스 호텔,Hotel Hill House,"37.556946,126.98192"
hotels,13965841,3.857142857142857,페어필드 바이 메리어트 서울호텔,Fairfield by Marriott Seoul,"37.51696,126.90914"
hotels,13984475,1.0,플렉스홈,FlexHome Guest House,"37.553093,126.90547"
hotels,14159708,5.0,지브로 S 게스트하우스,Zibro S Guesthouse,"37.54818,126.92388"
hotels,14159727,4.5,노보텔 앰배서더 서울 동대문 호텔,,"37.56616,127.00426"
hotels,14199590,4.0,호텔쿠레타케소 인사동,Hotel Kuretakeso Insadong,"37.572357,126.98717"
hotels,1462081,4.0,베니키아호텔 플라워,Benikea Hotel Flower,"37.58478,127.05065"
