class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,1100758,4.105263157894737,빅락,Big Rock,37.499718,127.02893
restaurants,1114546,4.075268817204301,피자 힐,Pizza Hill,37.553875,127.109146
restaurants,1139516,3.3333333333333335,빌라 소르티노,Villa Sortino,37.534775,126.99659
restaurants,1139517,4.25,벽제 갈비,Byeokje Galbi,37.5578,126.93777
restaurants,1140397,4.25,아지오 홍대점,Agio Hongdae Store,37.573784,126.98346
restaurants,1140398,2.611111111111111,알리바바,Ali Baba,37.534786,126.99657
restaurants,1140399,4.1909090909090905,안동찜닭,Andong Jjimdak,37.563747,126.98522
restaurants,1140439,4.333333333333333,한미리 역삼점,Hanmiri Yeoksam Store,37.50006,127.03665
restaurants,1140453,3.7666666666666666,이태원 갈비,Itaewon Galbi,37.53488,126.99433
restaurants,1140460,3.8867924528301887,메드포갈릭 압구정점,Mad For Garlic Apgujeong,37.528404,127.03174
restaurants,1143856,4.111111111111111,놀부 홍대점,Nolboo Hongdae Store,37.55458,126.92171
restaurants,1143877,3.0434782608695654,포 베이 압구정 본점,Pho Bay Apgujeong Main Store,37.52792,127.03452
restaurants,1143904,4.361111111111111,사동면옥,Sadong Myeonok,37.57413,126.98586
restaurants,1143932,3.140845070422535,산토리니,Santorini,37.534264,126.98904
restaurants,1144019,3.5081967213114753,곽경찬의 시골밥상,Kwak Kyung Chan's Sigol Bapsang,37.535835,126.99939
restaurants,1144379,4.037313432835821,탑 클라우드,Top Cloud Grill & Cafe,37.570526,126.983536
restaurants,1148306,3.9642857142857144,참숯골,Chamsookgol,37.567097,126.97935
restaurants,11543569,4.666666666666667,오오픈 레스토랑,Oopen Restaurant,37.566387,127.00222
restaurants,11621364,4.0,갓잇,God Eat,37.500965,127.0518
restaurants,11621385,3.25,차찬텡,Cha Chaan Teng,37.53689,126.98837
restaurants,11644697,4.833333333333333,미스피츠,MISFITS Burger & Pub,37.482582,126.98101
restaurants,1166551,4.285714285714286,한우리 한정식,Hanwoori Korean Restaurant,37.521156,127.03473
restaurants,11671916,4.75,송혜자김밥,Song Hyeja Gimbap,37.592415,127.0123
restaurants,11671920,4.625,써니사이드,Sunnyside,37.49344,127.133514
restaurants,11675011,4.571428571428571,Kioku Seoul,Kioku Seoul,37.571,126.97546
restaurants,11693244,4.571428571428571,더크라우드,The Crowd,37.546528,126.92296
restaurants,11704295,4.75,5Extracts,5Extracts,37.534878,126.99761
restaurants,11734384,4.821428571428571,샐러드 브라더스,Salad Brothers,37.558823,126.92504
restaurants,11736270,5.0,라바치치,Lava Chee Chee,37.549805,126.92114
restaurants,11736947,5.0,베네베네,BeneBene,37.506855,127.03273
restaurants,1174970,4.030612244897959,프로 간장 게장 신사점,Pro Ganjang Gejang Sinsa,37.514774,127.01915
restaurants,1174982,4.125,토속촌삼계탕,Tosokchon Samgyetang,37.57775,126.97164
restaurants,1176237,3.5405405405405403,포린 레스토랑,Foreign Restaurant,37.53396,126.99565
restaurants,1176564,4.041666666666667,송원,Song Won,37.559875,127.00523
restaurants,11800883,3.0,카페 포즈,PO:Z KITCHEN,37.508408,127.05868
restaurants,11807492,3.888888888888889,보름쇠,Bo Reum Soei,37.50922,127.05646
restaurants,11807511,3.606060606060606,유 유안,Yu Yuan,37.570995,126.97546
restaurants,11807527,4.428571428571429,곳간,Gotgan.,37.52219,126.91979
restaurants,11816035,4.5,러스티 스모크하우스,Rusty's Smokehouse,37.53491,126.9921
restaurants,11816054,4.5,러스티 립 하우스,Rusty's Rib House,37.550552,126.91399
restaurants,11824462,5.0,스쿠로,Scuro,37.52069,127.02409
restaurants,11832256,5.0,씨태번,C Tavern,37.561794,126.98793
restaurants,11857518,4.75,나즈드라비,Na Zdravi,37.502148,127.02615
