class,placeId,score,name_kor,name_eng,location
attractions,4427657,5.0,생명과학체험박물관,Seangmyeong Gwahak Cheheom Bakmulgwan,서울 양천구 목동동로 206-1
attractions,4427661,5.0,갤러리현대,Gallery Hyundae,서울 강남구 신사동 640-6
attractions,4427662,5.0,분재박물관,Bonsai Museum,서울 서초구 신흥안길 40-10
attractions,4427670,3.6666666666666665,서울대학교병원 의학박물관,Seoul University Hospital Medical Museum,서울 종로구 연건동 28
attractions,4438496,4.0,서울아트센터 공평갤러리,Seoul Art Center Gongpyeong Gallery,서울 종로구 공평동 5-1
attractions,4438517,3.0,웅갤러리,Woong Gallery,서울 강남구 언주로150길 34
attractions,4438637,5.0,강북문화예술회관,Ganbuk Munhwa Yesulhoekwan,서울 강북구 수유동 360-10
attractions,4438686,4.5,강동구립해공도서관,Gandong Gurip Hegong Doseokwan,서울 강동구 천호동 360
attractions,4438687,3.0,세곡문화센터,Segok Munhwa Center,서울 강남구 율현동 278-1
attractions,4438706,4.0,개포2문화센터,Gepo2 Munhwa Center,서울 강남구 삼성동 8
attractions,4438716,4.5,덕수궁 중명전,Jungmyeongjeon Hall,서울 중구 정동 1-11
attractions,4440129,4.5,예술의전당 오페라하우스 자유소극장,Yesuli Jeondang Operahouse Jayu Sokukjang,서울 서초구 서초동 700
attractions,4798548,5.0,Tiovivo Shindorim Store,Tiovivo Shindorim Store,"서울 3-25, Guro5-dong, Guro-gu"
attractions,4798567,5.0,Kukje Gallery,Kukje Gallery,"서울 59-1, Sogyeok-dong, Jongno-gu"
attractions,4798570,4.0,Deokwon Gallery,Deokwon Gallery,"서울 15, Insa-dong, Jongno-gu"
attractions,4798571,5.0,Yoon Gallery,Yoon Gallery,"서울 30-12, Gwanhun-dong, Jongno-gu"
attractions,4798574,5.0,Trunk Gallery,Trunk Gallery,"서울 128-3, Sogyeok-dong, Jongno-gu"
attractions,4798583,4.666666666666667,Gana Art Gallery,Gana Art Gallery,"서울 97, Pyeongchang-dong, Jongno-gu"
attractions,4798598,5.0,관훈갤러리,Kwanhoon Gallery,서울 종로구 인사동길 11
attractions,4798608,4.625,인사아트센터,Insa Art Center,서울 종로구 인사동길 41-1
attractions,4798610,4.0,Seoul Olympic Misulgwan,Seoul Olympic Misulgwan,"서울 88-8, Bangi-dong, Songpa-gu"
attractions,4798618,4.0,The Museum of Photography,The Museum of Photography,"서울 45, Bangi-dong, Songpa-gu"
attractions,4798630,3.2,Seoul Fashion Center,Seoul Fashion Center,"서울 251-7, Sindang-dong, Jung-gu"
attractions,4798642,4.0,Hongreung Sumokwon,Hongreung Sumokwon,"서울 207, Cheongnyangni2-dong, Dongdaemun-gu"
attractions,4798676,5.0,Jong Ie Nara Paper Art Museum,Jong Ie Nara Paper Art Museum,"서울 166, Jangchungdan-ro, Jung-gu"
attractions,4798677,4.0,춘원당한방 박물관,Choonwondang Museum of Korean Medicine,서울 종로구 돈화문로9길 27
attractions,4798681,4.0,The Korean National Police Heritage Museum,The Korean National Police Heritage Museum,"서울 58, Sinmunno2-ga, Jongno-gu"
attractions,4798686,1.0,Korean Film Archive,Korean Film Archive,"서울 1602, Sangam-dong, Mapo-gu"
attractions,4798687,5.0,Bona Museum/Gallery,Bona Museum/Gallery,"서울 192-10, Gwanhun-dong, Jongno-gu"
attractions,4798694,4.833333333333333,Mokin Museum,Mokin Museum,"서울 82, Gyeonji-dong, Jongno-gu"
attractions,4798710,4.7,송파나루공원,Songpa Naru Park,서울 송파구 잠실로 180
attractions,4798717,4.5,Samcheong Park,Samcheong Park,"서울 2, Samcheong-dong, Jongno-gu"
attractions,4798825,4.0,Woori Financial Art Hall,Woori Financial Art Hall,"서울 88-2, Bangi-dong, Songpa-gu"
attractions,4798827,4.0,Olympus Hall,Olympus Hall,"서울 114-9, Samseong-dong, Gangnam-gu"
attractions,592442,4.0,아차산성,Achasanseong Fortress,서울 광진구 광장동
attractions,592509,4.666666666666667,우정 박물관,Postal Museum,서울 21 Choogmuro 1-ga
attractions,592515,2.0,마루존 김치 백화점,Maruzon Kimchi Market,서울 1543-2 Gayang-dong
attractions,7154877,4.4,국립중앙도서관,The National Library of Korea,서울 서초구 반포대로 201
attractions,7264066,4.6875,수성동 계곡,Suseongdong Valley,서울 종로구
attractions,7264192,4.416666666666667,응봉산,Eungbongsan Mountain,서울 성동구 응봉동
attractions,7272329,4.666666666666667,호림 박물관 신사 분관,Horim Museum Sinsa,서울 강남구 도산대로 317
attractions,7353801,4.5,손기정 기념관,Son Kee Chung Memorial Hall,서울 중구 손기정로 101
attractions,7717447,4.285714285714286,환구단,Hwangudan Altar,서울 중구 소공로 112
attractions,7717516,3.827586206896552,국립 한글 박물관,National Hangeul Museum,서울 용산구 서빙고로 139
