class,placeId,name_kor,name_eng,latitude,longitude
hotels,12222818,케이게스트하우스 동대문4,,37.563644,127.03066
hotels,12231518,호텔스타프리미어 역삼점,Yeoksam Hotel Star Premier,37.502842,127.04027
hotels,12231683,호텔 루체브릿지,,37.558964,126.83719
hotels,12231972,모스크,MOSC,37.533035,126.99554
hotels,12231981,에그하우스 동대문점,,37.572052,127.011696
hotels,12238832,필스테이 명동메트로,,37.56306,126.98572
hotels,12242034,호텔 GMS,,37.51732,126.90914
hotels,12242440,신라스테이 서초,Shilla Stay Seocho,37.48936,127.03014
hotels,12244969,킴스테이 게스트하우스,KimStay,37.55643,126.93643
hotels,12251056,한류 호스텔,Hallyu Hostel,37.564674,127.00225
hotels,12257734,K그랜드호스텔 동대문,K-Grand Hostel Dongdaemun,37.563023,127.03201
hotels,12264023,딜라이트  호텔,,37.51535,127.1093
hotels,12264115,낙원장 호텔,Nagwonjang Hotel,37.57296,126.98993
hotels,12273316,호텔 더 디자이너스 서울역,Hotel The Designers Seoul Station,37.545483,126.97157
hotels,12287729,G2 호텔,G2 Hotel,37.56331,126.99033
hotels,12290061,로얄스퀘어 호텔,Royal Square Hotel,37.560467,126.81036
hotels,12292815,Hoseong Guesthouse,Hoseong Guesthouse,37.556355,126.947365
hotels,1230995,호텔아르누보 역삼,,37.503487,127.04299
hotels,12310284,시그니엘 서울,,37.512707,127.10255
hotels,12315022,호텔렉스빌,Hotel Rexvill,37.51818,126.910645
hotels,1236989,계림장 게스트하우스,Gyerimjang Guest House,37.559822,126.985916
hotels,1236995,인사동미니호텔,Mini Hotel Insa,37.575054,126.98546
hotels,12377445,스타 호스텔 명동 패밀리,,37.560722,126.99541
hotels,12388243,나인브릭호텔,9Brick Hotel,37.55391,126.920364
hotels,12396150,대영호텔 서울,,37.558346,126.9803
hotels,12396407,K-그랜드 호텔 앤 게스트 하우스 서울,,37.55274,126.97222
hotels,12419900,명동선샤인 게스트하우스,,37.56202,126.98645
hotels,12430674,친구 게스트하우스,Chingu Guesthouse,37.545494,126.92203
hotels,12434582,WD호텔,,37.48545,126.92929
hotels,12454272,팝 앳 이태원 게스트하우스,Pop at Itaewon Guesthouse,37.533623,126.98939
hotels,12491652,레드스톤게스트하우스,,37.559742,126.919914
hotels,12511642,호텔 파크 힐 명동,Hotel Park Hill Myeongdong,37.55769,126.98165
hotels,12519557,아마존게스트하우스,Amazon Guesthouse,37.532642,126.99304
hotels,12527338,미조 호텔,,37.56172,126.98539
hotels,12542874,호텔 파크하비오,Hotel Parkhabio,37.481945,127.123474
hotels,12547367,더리센츠동대문호텔,The Recenz Dongdaemun Hotel,37.56209,127.06161
hotels,12550700,베니키아 프리미어 여의도 호텔,Benikea Premier Yeouido Hotel,37.51361,126.92151
hotels,12550987,디자인호텔 다니엘 캄파넬라,,37.637356,127.02587
hotels,12558233,또와 하우스,,37.558346,126.98449
hotels,12581921,라비앙호텔,Hotel Lavieen,37.511154,127.082184
hotels,12597060,브라우니 게스트하우스,,37.559444,126.92509
hotels,12604521,H 에비뉴 호텔 이대점,H Avenue Hotel Ewha Univ.,37.556515,126.942764
hotels,12639491,이화 호텔,Ehwa Hotel,37.564144,126.98797
hotels,12667390,베스트인 부띠크,Vestin Boutique,37.56151,126.99212
hotels,12670129,K그랜드호스텔 이대,,37.556973,126.94308
hotels,12674038,호텔부티크나인 능동점,Hotel Boutique 9 Neungdong,37.55672,127.080185
hotels,12690380,그랜드 머큐어 앰배서더 서울 용산,,37.531742,126.96329
hotels,12698628,이비스 스타일 앰배서더 서울 용산,ibis Styles Ambassador Seoul Yongsan,37.53173,126.96336
hotels,12698724,블루마운틴 명동,,37.5631,126.98583
hotels,12703706,알 게스트하우스,,37.55365,126.96662
hotels,12707152,도봉 호텔 베이 204,,37.667793,127.043625
hotels,12707649,노보텔 스위트 앰배서더 서울 용산,Novotel Suites Ambassador Seoul Yongsan,37.53173,126.96337
hotels,12707683,노보텔 앰배서더 서울 용산,Novotel Ambassador Seoul Yongsan,37.531742,126.96335
hotels,12720709,호텔 A314,A314 Hotel,37.53785,127.07778
hotels,12726131,동대문하우스,,37.575066,127.027466
hotels,12730428,홍대 레이지 폭스 덴 호스텔,Hongdae Lazyfox Den Hostel,37.553123,126.91537
hotels,12730569,피에스 게스트하우스 이태원,P.S. GuestHouse Itaewon,37.537365,126.988914
hotels,12730914,에이치에비뉴 이대점,H Avenue Hotel Shinchon &amp; Idae,37.55658,126.9424
hotels,12730919,디 에블린 동대문 호텔,,37.5614,127.067535
hotels,12789877,필하우스,Fillhouse,37.57157,127.00762
hotels,12856116,라마다 서울 신도림 호텔,Ramada Seoul Sindorim Hotel,37.506298,126.88539
hotels,12940832,로드 명동,Road Myeongdong,37.561836,126.99399
hotels,12951821,퍼스트스테이호텔,First Stay Hotel,37.562645,126.97723
hotels,12956021,더스테이트선유호텔,The State Sunyu Hotel,37.538372,126.89317
hotels,13009660,코멧 게스트하우스,Comet Guesthouse,37.532303,126.972916
hotels,13084680,펠리스까사,Feliz Casa,37.562126,127.00075
hotels,1310694,호텔 아카시아,Benikea Hotel Acacia,37.566372,127.0026
hotels,13131314,Hi Jun Guesthouse,Hi Jun Guesthouse,37.56457,126.92493
hotels,13166512,갤럭시호텔,Galaxy Hotel,37.526222,126.90887
hotels,13283029,글래드 강남 코엑스 센터,GLAD Gangnam COEX Center,37.50899,127.064445
hotels,13293144,호텔 토마스 명동,Hotel Thomas Myeongdong,37.563477,126.978294
hotels,13319648,L7강남,L7 Gangnam,37.505558,127.05184
hotels,13361835,부띠끄호텔 Young Inn,Boutique Hotel Young Inn,37.55627,126.99372
hotels,13369640,사보이호텔,Savoy Hotel,37.56195,126.9844
hotels,13392050,ENA스위트호텔,ENA Suite Hotel Namdaemun Seoul,37.562298,126.97388
hotels,13394600,호텔해담채가산,Hotel Haedamchae Gasan,37.479767,126.88837
hotels,13397346,호텔더디자이너스 디디피,Hotel The Designers DDP,37.563778,127.004265
hotels,13401342,루미아호텔2,Lumia Hotel 2,37.57383,127.02217
hotels,13402121,에이치에비뉴 호텔 건대점,H Avenue Hotel Kondae,37.546524,127.06665
hotels,13414457,노블호텔,Noble Hotel,37.576874,126.989456
hotels,13426084,L7홍대,L7 Hongdae,37.555782,126.92142
hotels,13781380,포포인츠 바이 쉐라톤 서울 강남,,37.520008,127.0283
hotels,13819581,글래드 마포,Glad Mapo,37.543037,126.95146
hotels,13846825,코트야드 서울 보타닉 파크,Courtyard Seoul Botanic Park,37.56705,126.82945
hotels,1392824,힐 하우스 호텔,Hotel Hill House,37.556946,126.98192
hotels,13965841,페어필드 바이 메리어트 서울호텔,Fairfield by Marriott Seoul,37.51696,126.90914
hotels,13984475,플렉스홈,FlexHome Guest House,37.553093,126.90547
hotels,14090461,엠펠리체 호텔,M Felice Hotel,37.567795,126.82296
hotels,14159708,지브로 S 게스트하우스,Zibro S Guesthouse,37.54818,126.92388
hotels,14159727,노보텔 앰배서더 서울 동대문 호텔,,37.56616,127.00426
hotels,14199590,호텔쿠레타케소 인사동,Hotel Kuretakeso Insadong,37.572357,126.98717
hotels,1462081,베니키아호텔 플라워,Benikea Hotel Flower,37.58478,127.05065
hotels,1462343,메이트 호텔 서울,Mate Hotel Seoul,37.52993,126.84094
hotels,1465296,롯데 시티 호텔 마포,Lotte City Hotel Mapo,37.544697,126.950714
hotels,1467802,아모렉스 호텔,Amourex Hotel,37.563698,127.03532
hotels,14789575,수송 게스트 하우스,Soo Song Guest House,37.573017,126.981155
hotels,1499077,호텔 대우인,Hotel Daewoo Inn,37.56286,126.97801
hotels,1535250,토요코 인 서울 동대문,Toyoko Inn Seoul Dongdaemun,37.564495,127.00914
hotels,1557869,코트야드 메리어트 서울 타임스퀘어,Courtyard by Marriott Seoul Times Square,37.517864,126.90402
hotels,1569561,시티 파크 호텔,,37.576466,126.98982
hotels,1575192,그레이프 가든 하우스,,37.554188,126.92647
hotels,1625995,봉 하우스,Bong House,37.584225,126.99701
