class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
attractions,12496146,5,윤스칼라,Yoon's Color,서울 마포구 와우산로14길 12,정좌표,,126.92365,37.550171
attractions,12538661,4.230769231,고속터미널상가,Express Bus Terminal Shopping Center,서울 서초구 신반포로 194,정좌표,,127.007074,37.505381
attractions,12538691,4.5,에이피엠 플레이스,apm Place,서울 중구 을지로 276,정좌표,,127.008418,37.565303
attractions,12587887,5,역삼동성당,Yeoksam Catholic Church,서울 강남구 언주로85길 23-11,정좌표,,127.041882,37.500442
attractions,12657697,4,양천향교,Yangcheon Hyanggyo,서울 강서구 양천로47나길 53,정좌표,,126.839823,37.572984
attractions,12673929,4,소악루,Soaknu Pavillion,서울 강서구 가양동 산4-7,정좌표,,126.840801,37.574165
attractions,12763399,5,평화의소녀상,Statue of Peace,서울 종로구 율곡로2길 22,정좌표,,126.980041,37.575243
attractions,12841946,4,롯데콘서트홀,Lotte Concert Hall,서울 송파구 올림픽로 300,정좌표,,127.103018,37.51306
attractions,12847901,3,마포주민편익시설,Mapo Community Welfare Facility,서울 마포구 월드컵북로44길 40,정좌표,,126.895397,37.57668
attractions,12881807,4.5,난지천공원,Nanjicheon Park,서울 마포구 상암동 1731-5,정좌표,,126.889113,37.572178
attractions,12928976,4,DMC홍보관,Digital Media City Gallery,서울 마포구 월드컵북로 366,정좌표,,126.892098,37.577703
attractions,12986922,5,소공지하도상가,Sogongdong Underground Shopping Center,서울 중구 소공로 106,정좌표,,126.980154,37.564494
attractions,12986927,3.333333333,문화비축기지,Mapo Oil Tank Culture Park,서울 마포구 증산로 87,정좌표,,126.893763,37.571591
attractions,13004245,4,공덕시장,Gongdeok Market,서울 마포구 만리재로 19,정좌표,,126.953152,37.544669
attractions,13086721,3,최규하대통령가옥,House of Former President Choi Kyu-hah,서울 마포구 동교로15길 10,정좌표,,126.914907,37.555344
attractions,13123227,4,장충체육관,Jangchung Arena,서울 중구 동호로 241,정좌표,,127.006634,37.558188
attractions,13138039,4,연세대학교 신촌캠퍼스,Yonsei University Sinchon Campus,서울 서대문구 연세로 50,정좌표,,126.94026,37.564855
attractions,13141984,4,보라매공원,Boramae Park,서울 동작구 여의대방로20길 33,정좌표,,126.919854,37.493272
attractions,13147874,5,평화의 소녀상,Statue of Peace,서울 서초구 반포대로27길 29,정좌표,,127.005725,37.489412
attractions,13151759,5,평화의 소녀상,Statue of Peace,서울 노원구 덕릉로 450,정좌표,,127.058718,37.644717
attractions,13151896,5,평화의 소녀상,Statue of Peace,서울 중구 정동길 9,정좌표,,126.970082,37.567579
attractions,13152278,5,평화의 소녀상,Statue of Peace,서울 강북구 도봉로 351,정좌표,,127.02635,37.63903
attractions,13152481,5,평화의 소녀상,Statue of Peace,서울 성동구 행당동 192-3,정좌표,,127.037057,37.561692
attractions,13155667,5,평화의 소녀상,Statue of Peace,서울 도봉구 도봉로 552,정좌표,,127.038665,37.654107
attractions,13155689,5,평화의 소녀상,Statue of Peace,서울 용산구 이태원동 34-2,정좌표,,126.98868,37.534095
attractions,13169763,4.333333333,올림픽공원 세계평화의문,World Peace Gate at Olympic Park,서울 송파구 올림픽로 424,정좌표,,127.115397,37.520352
attractions,13172633,4,경의선책거리,Gyeongui Line Book Street,서울 마포구 와우산로35길 50-4,정좌표,,126.92838,37.556539
attractions,13172639,5,아시아공원,Asia Park,서울 송파구 올림픽로 44,정좌표,,127.076008,37.51013
attractions,13222799,4,목은선생영당,Mok Eun Seonsaeng Shrine,서울 종로구 종로5길 76,정좌표,,126.980695,37.573798
attractions,13319719,4,영천시장,Yeongcheon Market,서울 서대문구 성산로 704,정좌표,,126.960121,37.571618
attractions,13319724,4.333333333,망원시장,Mangwon Market,서울 마포구 포은로8길 14,정좌표,,126.905613,37.55624
attractions,13412916,5,쎈토이뮤지엄&쇼룸,Ssentoy Museum & Showroom,서울 용산구 남산공원길 105,정좌표,,126.98785,37.551126
